"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.354821813E1,6.149860243E1,2.309767735E1,8.304625242E1,1.210585121E0,3.022323700E2,4.753778414E0,3.350541423E0
4.454820609E1,6.149861098E1,2.309765492E1,8.324624136E1,1.257545311E0,3.129219138E2,4.751984140E0,3.353085709E0
4.554819536E1,6.149861126E1,2.309762868E1,8.352132708E1,1.207968929E0,2.925437079E2,4.751033047E0,3.354433189E0
4.654818463E1,6.149860889E1,2.309760335E1,8.366163607E1,1.210152817E0,2.733128168E2,4.752987338E0,3.351663528E0
4.754817474E1,6.149860904E1,2.309757948E1,8.369190963E1,1.169331000E0,2.720010352E2,4.752442517E0,3.352436003E0
4.854816544E1,6.149860517E1,2.309755239E1,8.379305979E1,1.370196030E0,2.699037339E2,4.752965696E0,3.351694218E0
4.954815602E1,6.149860367E1,2.309752641E1,8.401886877E1,1.325199231E0,2.727617748E2,4.752797387E0,3.351932880E0
5.054814839E1,6.149860337E1,2.309750935E1,8.393465795E1,1.348295515E0,2.635123910E2,4.729102455E0,3.385280934E0
5.154814029E1,6.149859704E1,2.309749316E1,8.375822158E1,1.090805817E0,2.486907916E2,4.728825190E0,3.385668228E0
5.254813254E1,6.149858683E1,2.309747405E1,8.382591668E1,1.089595133E0,2.327076414E2,4.728209529E0,3.386527968E0
5.354812598E1,6.149858115E1,2.309745262E1,8.346962539E1,1.058185483E0,2.323932771E2,4.728818302E0,3.385677849E0
5.454811871E1,6.149858314E1,2.309742969E1,8.352568705E1,1.002147266E0,2.545987035E2,4.728640537E0,3.385926122E0
5.554811239E1,6.149858376E1,2.309740730E1,8.363420185E1,1.060910777E0,2.639395977E2,4.727773681E0,3.387136409E0
5.654810679E1,6.149858582E1,2.309738423E1,8.351646138E1,1.007033537E0,2.715282624E2,4.727494677E0,3.387525809E0
5.754810166E1,6.149858801E1,2.309736380E1,8.364003265E1,9.906117590E-1,2.771222014E2,4.727777056E0,3.387131698E0
5.854809499E1,6.149858945E1,2.309734343E1,8.362435739E1,8.986371309E-1,2.782483553E2,4.728039096E0,3.386765912E0
5.954809070E1,6.149858913E1,2.309731696E1,8.373093793E1,1.127815394E0,2.727564621E2,4.728475028E0,3.386157253E0
6.054808557E1,6.149858948E1,2.309729214E1,8.353467516E1,1.213951201E0,2.719071714E2,4.728679315E0,3.385871966E0
6.154808033E1,6.149859161E1,2.309727450E1,8.348250625E1,1.043267060E0,2.778890578E2,4.729005222E0,3.385416761E0
6.254807615E1,6.149859887E1,2.309725781E1,8.334098745E1,1.006311573E0,2.974759153E2,4.729926904E0,3.384128916E0
6.354807544E1,6.149861220E1,2.309725300E1,8.394504130E1,1.136109084E0,3.270622898E2,4.730268224E0,3.383651808E0
6.454807293E1,6.149862435E1,2.309725710E1,8.385604959E1,1.215377528E0,3.473605437E2,4.732042296E0,3.381170321E0
6.554806674E1,6.149863586E1,2.309725864E1,8.376561917E1,1.227562242E0,3.563090970E2,4.733431405E0,3.379225379E0
6.654806101E1,6.149864744E1,2.309726096E1,8.366773281E1,1.231480149E0,2.055113144E0,4.734687892E0,3.377464670E0
6.754805923E1,6.149865761E1,2.309726036E1,8.356253910E1,1.144367627E0,7.939010173E-1,4.735713514E0,3.376026444E0
6.854805470E1,6.149866987E1,2.309725762E1,8.357286212E1,1.232327089E0,3.575304096E2,4.733528921E0,3.379088781E0
6.954805052E1,6.149867911E1,2.309725347E1,8.344208285E1,1.085918656E0,3.543862912E2,4.734657794E0,3.377506863E0
7.054805195E1,6.149869298E1,2.309725015E1,8.342464189E1,1.300581142E0,3.552317766E2,4.734360842E0,3.377923097E0
7.154804468E1,6.149870125E1,2.309724756E1,8.349869443E1,1.065777078E0,3.560365630E2,4.734196889E0,3.378152875E0
7.254804206E1,6.149871482E1,2.309724732E1,8.343297576E1,1.263604489E0,3.589813279E2,4.733995437E0,3.378435175E0
7.354803967E1,6.149872360E1,2.309724421E1,8.353173613E1,1.071519387E0,3.565028069E2,4.733426156E0,3.379232733E0
7.454803669E1,6.149873332E1,2.309723911E1,8.351908100E1,1.089991613E0,3.533365400E2,4.734347789E0,3.377941392E0
7.554803491E1,6.149874324E1,2.309723249E1,8.351369869E1,1.107315427E0,3.501216832E2,4.734877510E0,3.377198838E0
7.654803276E1,6.149875157E1,2.309722951E1,8.350249038E1,9.581560788E-1,3.514026784E2,4.734919621E0,3.377139798E0
7.754803014E1,6.149875751E1,2.309723249E1,8.339936929E1,7.276131830E-1,1.721236078E0,4.734564695E0,3.377637366E0
7.854802799E1,6.149876754E1,2.309724604E1,8.374869197E1,9.128870267E-1,2.090577313E1,4.733871965E0,3.378608182E0
7.954802620E1,6.149876845E1,2.309726770E1,8.423472110E1,8.484018826E-1,5.394343413E1,4.734026631E0,3.378391465E0
8.054802358E1,6.149876985E1,2.309729415E1,8.429070011E1,1.114606781E0,7.047730012E1,4.731002151E0,3.382625560E0
8.154802179E1,6.149876822E1,2.309731864E1,8.415568607E1,1.194080207E0,8.604990772E1,4.731140818E0,3.382431610E0
8.254801941E1,6.149877063E1,2.309734364E1,8.435586189E1,1.195137281E0,8.643664210E1,4.726614543E0,3.388753752E0
8.354801738E1,6.149877201E1,2.309736907E1,8.483400707E1,1.239075305E0,8.761742305E1,4.729339919E0,3.384949182E0
8.454802012E1,6.149877775E1,2.309738782E1,8.470182873E1,1.138063828E0,7.843321512E1,4.730194133E0,3.383755384E0
8.554801428E1,6.149878060E1,2.309740579E1,8.473219807E1,1.044404612E0,8.007170680E1,4.728617100E0,3.385958853E0
8.654801285E1,6.149878461E1,2.309742460E1,8.534743498E1,1.040042407E0,7.927332826E1,4.730647849E0,3.383121039E0
8.754801118E1,6.149878782E1,2.309744225E1,8.552461194E1,9.865971470E-1,7.748905569E1,4.730819835E0,3.382880537E0
