"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.729352308451692E9,"2024-10-19 18:38:28.452 UTC+03:00"
"PAUSE",1.547528929584660E2,1.729352463203198E9,"2024-10-19 18:41:03.203 UTC+03:00"
